Latitude,Longitude,LeadLevel,Time,SalesPrice,LoanAmount,CensusBlockLeadMean,InServiceLine,DistToBoundary,ExpectedLead_025km,ExpectedLead_400km
43.048035,-83.764368,0.020378404,6622,38357,38357,0.003,0,7735.54096,0,0.03212922
43.004917,-83.785894,0.019349901,6357,70000,70000,0,0,11895.34369,0,0.032125475
43.000297,-83.740291,0.031778221,6324,20000,20000,5.00E-04,0,578.6608303,0.248681818,0.032117277
43.01741,-83.76567,0.01992009,6684,174900,174900,0,0,7191.532223,0,0.032102008
43.024213,-83.775641,0.016236184,6310,0,0,0.002,0,8894.547547,0.002,0.031854081
43.018755,-83.760068,0.022493973,6364,90000,90000,0,0,5669.129254,0,0.031804162
42.996255,-83.736958,0.022284058,6329,4700,4700,0.002230769,1,260.7408591,0.030263636,0.031760691
43.016297,-83.76499,0.020216352,6750,48000,48000,0,0,7032.9079,0,0.031497483
42.996722,-83.75262,0.02377928,6482,0,0,0,0,3647.388112,0.014,0.03140386
42.993724,-83.755846,0.022359125,6664,0,0,0,0,4841.437102,0.007,0.031390435
42.997107,-83.735949,0.022296406,6324,4249,4249,0.00125,1,541.3742135,0.02280137,0.031347938
43.02108,-83.770821,0.013974684,6271,60200,60200,0,0,7892.049942,0,0.031214724
43.016716,-83.755928,0.023873951,6342,0,0,0,0,4786.543387,0.004,0.031189305
43.028187,-83.755797,0.023681276,6388,50430,50430,0.004,0,3502.172104,0,0.031116795
43.018713,-83.746643,0.034876327,6351,22011,22011,0,0,2837.079046,0,0.031083089
43.004258,-83.755733,0.02248883,6601,64000,64000,0.00025,0,3847.071125,0,0.030954843
42.997906,-83.73717,0.023050627,6336,9800,9800,0.003190476,1,225.1481641,0.014052632,0.030949809
43.028187,-83.755797,0.023732452,6405,0,0,0.004,0,3502.172104,0,0.030907595
43.019722,-83.7599,0.021961178,6429,96000,96000,0,0,5436.184179,0,0.030590041
43.005403,-83.756143,0.02234737,6559,49900,49900,0.00025,0,4038.80004,5.00E-04,0.030499903
43.000736,-83.739603,0.029606902,6386,0,0,0.003,0,389.1247372,0.125613636,0.030472909
43.000064,-83.736657,0.021992631,6344,0,0,0.002592593,1,389.8511753,0.055875,0.030458256
42.981998,-83.764699,0.021668714,6337,117000,117000,0.000666667,0,3311.512638,0.000666667,0.030398162
42.997083,-83.737,0.022254482,6365,0,0,0.00125,1,260.0862552,0.023349315,0.030342247
42.997107,-83.735949,0.022605559,6364,10100,10100,0.00125,1,541.3742135,0.022559748,0.030232084
42.997107,-83.735949,0.022605559,6364,0,0,0.00125,1,541.3742135,0.022559748,0.030232084
42.996722,-83.75262,0.023288723,6686,14000,14000,0,0,3647.388112,0.014,0.03018071
42.996722,-83.75262,0.023288723,6659,6301,6301,0,0,3647.388112,0.014,0.03018071
42.996722,-83.75262,0.023288723,6686,1000,1000,0,0,3647.388112,0.014,0.03018071
43.004264,-83.754141,0.023081712,6729,14200,14200,0.00025,0,3427.908159,0,0.029957334
43.004264,-83.754141,0.023081712,6661,12750,12750,0.00025,0,3427.908159,0,0.029957334
42.997104,-83.736098,0.022571884,6388,11611,11611,0.00125,1,501.501236,0.022941935,0.029824502
43.021313,-83.768242,0.013097506,6245,117000,117000,0,0,7210.608946,0,0.029814302
