Latitude,Longitude,LeadLevel,Time,SalesPrice,LoanAmount,CensusBlockLeadMean,InServiceLine,DistToBoundary
42.998659,-83.714808,0,1702,449942,449942,0.008,1,3869.798012
43.025545,-83.804107,0,2019,445000,445000,0,0,16433.55584
42.995327,-83.718904,0,2716,440374,440374,0.003333333,1,2575.086884
43.016611,-83.676384,0,1102,437000,437000,0.022419355,1,9737.151981
42.995327,-83.718904,0,85,434371,434371,0.003333333,1,2575.086884
42.895171,-83.600071,0,5705,432000,432000,0.001,0,34754.98382
42.904068,-83.703099,0,3243,432000,432000,0.00075,0,17990.67962
43.02611,-83.806674,0,1744,432000,432000,0,0,17110.92309
42.989987,-83.730492,0,2514,429000,429000,0.021617647,1,663.8773825
43.013222,-83.670084,0,1812,425000,425000,0.00937931,1,7674.71293
43.056794,-83.829214,0,5672,425000,425000,0,0,24417.32098
42.888445,-83.593482,0,2520,423425,423425,0.001,0,37721.13898
42.895171,-83.600071,0,4293,422574,422574,0.001,0,34754.98382
42.998173,-83.668934,0,2256,415000,415000,0.00621875,1,5289.734758
42.902011,-83.593212,0,673,410000,410000,0.001,0,33352.76993
43.028485,-83.801585,0,1682,410000,410000,0,0,15742.83188
42.890532,-83.596733,0.014899248,6580,405000,405000,0.001,0,36664.25556
42.892694,-83.592532,0,3760,405000,405000,0.001,0,36440.60055
42.904068,-83.703099,0,288,404943,404943,0.00075,0,17990.67962
43.017826,-83.677964,0,1925,4.00E+05,4.00E+05,0.06028,1,10320.28908
43.016161,-83.671343,0,1785,4.00E+05,4.00E+05,0.0045,1,8485.123401
42.995482,-83.719862,0,498,4.00E+05,4.00E+05,0.003333333,1,2620.875405
42.994889,-83.718936,0,1191,4.00E+05,4.00E+05,0.003333333,1,2415.242579
42.891301,-83.592599,0,5015,4.00E+05,4.00E+05,0.001,0,36886.93866
42.891301,-83.592599,0,4851,4.00E+05,4.00E+05,0.001,0,36886.93866
42.959051,-83.687614,0,5421,4.00E+05,4.00E+05,0.001,0,6424.144102
42.899164,-83.598306,0,2102,395000,395000,0.001,0,33640.5907
42.99162,-83.72364,0,476,390000,390000,0.015227273,1,1193.518228
42.994102,-83.719728,0,428,387000,387000,0.003333333,1,2119.867028
42.899164,-83.598306,0,1679,386000,386000,0.001,0,33640.5907
42.899437,-83.599197,0,1955,385000,385000,0.001,0,33446.54199
42.989987,-83.730492,0,3831,382646,382646,0.021617647,1,663.8773825
42.996273,-83.719636,0,666,378414,378414,0.0058,1,2911.414031
43.085121,-83.834936,0,4322,376974,376974,0,0,27324.93966
42.997394,-83.715402,0,5659,375000,375000,0.024235955,1,3388.761408
